CUSTOMERID,FIRSTNAME,LASTNAME,PHONENO,ADDRESS,ZIPCODE
835,GELLISH,Joseph,1878124232,33 Jefferson Street,10000-6008
836,FILARSKI,Max,6245567409,20 Barton City Street,10000-6008
837,FLAUM,Elizabeth,1538979074,66 Flynn Valley Street,10000-6008
838,BURNHAM,Robert,9829605866,53 Lafayette Street,10000-6008
839,DOWLING,Clare,6518034730,63 Rogers City Road,10000-6008
840,BRUNETTE,Napoleon,1828211634,37 Long Rapids Court,10000-6008
841,BOWRIE,Alexander,2173813683,59 Sarasota Street,10000-6008
842,D'AIGLE,Achilles,4497761667,12 Grand Rapids Lane,10000-6008
843,BOOTZ,Harry,7993671154,35 Harrisville Drive,10000-6008
844,COUTURE,Renee,2152832484,58 Ofallon Street,10000-6008
845,FLANAGAN,Glen,4729669010,50 Lewsiton Street,10000-6008
846,GOHL Jr.,Larry,3815811087,2 Ossineke Street,10000-6008
847,ARZYSZESKI,Betty,9784543697,59 Albert Place,10000-6008
848,FERGUSON,Philip,2293149512,75 Rogers City Lane,10000-6008
849,BISANZ,Fred,6736302447,52 Spruce Street,10000-6008
850,COLBY,William,9654343525,36 Livonia Place,10000-6008
851,ANDERSON,Robert,3088506723,66 Oscoda Street,10000-6008
852,DIXOX,Agnes,8145154516,74 Pennsylvania Street,10000-6008
853,BROWN,George,7879445822,32 Hubbard Lake Road,10000-6008
854,BARTZ,Samuel,2879052191,75 Harrisville Street,10000-6008
855,FONSLOW,Leon,9178212186,21 Detroit Street,10000-6008
856,CARR,Faith,8228487384,21 Maple Ridge Place,10000-6008
857,DU CHARME,Mary,9268528278,46 Maple Ridge Place,10000-6008
858,DE CAIRE,Robert,7403895690,43 Sanborn Street,10000-6008
859,BOLENZ,Herbert,9944189343,27 Detroit Trail,10000-6008
860,BROWN],Cecil,4025203722,57 Lincoln Place,10000-6008
861,COOK,Alber,4689237678,20 Ossineke Street,10000-6008
862,ERICKSON,Arthur,4248884119,50 Warren Road,10000-6008
863,BISNETT,Dale,8134839683,33 Hughesville Street,10000-6008
864,HALL,J.,9668273948,44 Clio Street,10000-6008
865,BURNS,James,5587459454,73 Grand Lake Street,10000-6008
866,GOODRICH,Omer,3183914939,67 Detroit Street,10000-6008
867,CADY,Irvin,2741086673,53 Glennie Street,10000-6008
868,FOWLER,Thelma,5141765628,16 New Haven Street,10000-6008
869,HAMILTON,William,6811406819,54 Sanborn Street,10000-6008
870,CONNON,Colin,7245121903,61 Atlanta Street,10000-6008
871,BOROWSKI,Anthony,7016305835,25 Oscoda Lane,10000-6008
872,ARMON,Alma,1378973744,46 Green Place,10000-6008
873,BROWN,son,7978295405,7 Spruce Place,10000-6008
874,FORSCH,Otto,3022057028,66 Keene Street,10000-6008
875,BEATTY,Thomas,8796459099,59 Rogers City Road,10000-6008
876,ELLSWORTH,Carlston,9769843068,15 Posen Street,10000-6008
877,FLEWELLING,Herman,4249869044,4 Posen Street,10000-6008
878,GRZESIAK,John,9161175602,73 Ann Arbor Rd,10000-6008
879,COY,Don,1045083841,60 CalgaryN Street,10000-6008
880,GRANT,Gregor,5743195490,73 Green Street,10000-6008
881,COMBS,George,5266041373,4 Lachine Drive,10000-6008
882,FAUBERT,Mary,2406434297,18 Rogers City Trail,10000-6008
883,ERNEST,William,5081543403,23 Rogers City Road,10000-6008
884,AYOTTE,Rodney,6618334311,70 Leer Drive,10000-7019
885,EALES,Allan,3902935062,73 Atlanta Street,10000-7019
886,ASHTON,Moerella,4353262566,72 Hillman Court,10000-7019
887,DE COSTE,Joseph,5205022072,53 Ossineke Street,10000-7019
888,CROTEAU,Arthur,8467803917,56 Oscoda Place,10000-7019
889,ARLT,Arthur,8645747423,6 Spruce Place,10000-7019
890,FLETCHER,Allan,5653443147,40 Leer Street,10000-7019
891,DUETSCHER,Charles,9852106896,28 Detroit Rd,10000-7019
892,CORPUS JR.,John,8868361211,2 Defiance Street,10000-7019
893,AMY,William,9567016426,24 Lincoln Street,10000-7019
894,BOWEN,Mavis,3235021259,71 Long Rapids Street,10000-7019
895,DIXON,William,5703383839,10 Hillman Street,10000-7019
896,ENNES,Max,1968807381,28 Atlanta Road,10000-7019
897,DUBEY,Matthew,3237167538,71 Ossineke Court,10000-7019
898,DIEMOND,Fred,3838597695,35 Ocqueoc Street,10000-7019
899,BUDNICK,Philip,7528484368,46 Detroit Lane,10000-7019
900,BEACH,Frank,4839887808,4 Harrisville Road,10000-7019
901,COOK,Leona,4953223460,18 Lafayette Street,10000-7019
902,DOVE,Gerald,3664296928,18 Dearborn Road,10000-7019
903,DOWLING,Lyle,4507851592,11 Barton City Road,10000-7019
904,CRONAN,William,4964353691,33 Rogers City Place,10000-7019
905,BYRON,Joseph,9604474992,48 Spruce Street,10000-7019
906,CORBIN,John,5187939168,7 Hillman Street,10000-7019
907,BURGESS,Bernard,6262497758,75 Barton City Street,10000-7019
908,GIRARD,George,3195427241,40 Flint Rd,10000-7019
909,GIRARD,Albert,4218398488,49 Rogers City Rd,10000-7019
910,COLLINS,Ralph,6261493027,71 Green Rd,10000-7019
911,DONAJKOWSKI,Deborah,4181365941,38 Harrisville Street,10000-7019
912,CARPENTER,George,7321584380,10 fatally burned Place,10000-7019
913,GOOD,Mark,6402093573,34 Portland Street,10000-7019
914,GROSINSKY,August,4712982828,37 Wilson Court,10000-7019
915,DOVE,Fred,8124941876,54 Rogers City Road,10000-7019
916,CRAWFORD,Theodore,5312979964,61 Atlanta Road,10000-7019
917,BROUSSEAU,James,3705492450,65 New Haven Street,10000-7019
918,BENTZ,Bertha,7484502162,22 Posen Street,10000-8338
919,BURNASH,Teabush,7863275028,48 Wilson Street,10000-8338
920,GAUTHIER,Telisphore,2316215839,42 Hubbard Lake Street,10000-8338
921,GARVEY,Minette,1428216797,46 Herron Street,10000-8338
922,ANDERSON,Lee,7845426140,52 Bay City Street,10000-8338
923,ANDERSON,Erwin,5333444503,4 Prudenville Street,10000-8338
924,DOUGHERTY,Marshall,7909673445,22 Hubbard Lake Street,10000-8338
925,APSEY,Delbert,1249463332,28 Rogers City Road,10000-8338
926,DOUVILLE,Henrietta,1309878360,21 Lansing Street,10000-8338
927,BLAIR,Ira,6021084335,5 Birmingham Street,10000-8338
928,CANAVAN,Frank,2433419368,68 Iosco Road,10000-8338
929,CRUZEN,Gerald,5394675117,13 Detroit Place,10000-8338
930,DUCHARME,Adeline,4443904813,41 Green Rd,10000-8338
931,AYOTTE,fname,5001908468,71 Spruce Drive,10000-8338
932,CRIPPEN,Olive,7174804536,10 Hillman Road,10000-8338
933,DESIRA,Jean,8361747170,61 Grand Rapids Cr,10000-8338
934,BUCZKOWSKI,Joseph,9704171740,42 Oscoda Lane,10000-8338
935,GRIGGS,Leonard,8872168976,69 Ossineke Court,10000-8338
936,DUNFORD,Margaret,9367808786,29 Hubbard Lake Lane,10000-8338
937,BUDNICK,Emil,5388059467,45 Hubbard Lake Lane,10000-8338
938,GREEN,James,8859401882,18 East Tawas Road,10000-8338
939,COUILLARD,Joseph,4986737619,5 Cleveland Street,10000-8338
940,CRAMER,L.,5621774919,37 Rogers City Road,10000-8338
941,HACKEL,Herman,7315124034,75 Detroit Street,10000-8338
942,GEBHARDT,William,1452264980,45 Bay City Street,10000-8338
943,DIAMOND,Alfred,5859973802,21 Hubbard Lake Street,10000-8338
944,CLOFT,John,8106052197,67 Atlanta Road,10000-8338
945,BYRON,Frank,3375914821,68 Lincoln Street,10000-8338
946,BOUCHARD,Louis,8301321476,19 Sanborn Lane,10000-8338
947,GERVERS,Fred,4629646986,73 Rogers City Road,10000-8338
948,ABENTROD,Valentine,3943376832,68 Wilson Drive,10000-8338
949,DIETZ,Clarence,2399564687,25 Lachine Street,10000-8338
950,GEROW,Caroline,7601292938,38 Rogers City Road,10000-8338
951,ANDERSON,William,5559629564,49 New Haven Street,10000-8338
952,BOCK,George,6973976887,33 Harrisville Place,10000-8338
953,BEAN,Stephen,7138891618,25 Flint Road,10000-8338
954,DAGNER,George,2485116922,23 Hubbard Lake Lane,10000-8338
955,HABITZ,William,4071885956,65 Fairbanks Street,10000-8338
956,CAMPBELL,Hugh,3254815414,40 McKinley Street,10000-8338
957,COOK,John,6662502262,68 Grand Lake Street,10000-8338
958,BICKFORD,Myron,2028278069,17 Atlanta Street,10000-8338
959,BEAUDOIN,Edmond,4093924550,54 Hillman Road,10000-8338
960,CHURCHILL,W.,4861594297,10 Atlanta Street,10000-8338
961,DANFORD,Joseph,5787353597,15 Ossineke Street,10000-8338
962,BRELIN,Ralph,4792345941,5 Wilson Street,10000-8338
963,DZIENSKI,Albert,3866812240,56 Ossineke Street,10000-9569
964,BROWN,Arthur,8596884448,25 Spruce Road,10000-9569
965,BONZ,George,7645046870,11 Hawks Rd,10000-9569
966,HABERMEHL,Fred,9801538927,18 Carolina Street,10000-9569
967,DU PUIS,Leo,3943214651,11 Mt Pleasant Place,10000-9569
968,GRULKE,Edna,6187392223,33 Saginaw Rd,10000-9569
969,BEWICK,Richard,3853187968,51 Spokane Street,10000-9569
970,COLLINS,Sana,8453328483,57 Fenton Rd,10000-9569
971,FORRESTER,James,3325721947,61 Flint Street,10000-9569
972,BARRATT,John,5209672783,33 Stoney Street,10000-9569
973,EMERSON Sr.,William,4701875901,11 Birmingham Street,10000-9569
974,GRYKA,Andrew,1573452168,58 Atlanta Rd,10000-9569
975,BROWN,Neil,6606757477,57 Mikado Road,10000-9569
976,BRUDER,Mary,5835645408,70 Posen Place,10000-9569
977,GONYEA,Theodore,3796495259,2 Herron Street,10000-9569
978,CARLSON,Charles,4247157115,42 Hillman Road,10000-9569
979,BREBNER,Issac,4917398174,37 Atlanta Street,10000-9569
980,GROVE Sr.,Harry,2722547622,12 Onaway Trail,10000-9569
981,BREWEY,Henry,6574581913,24 Detroit Street,10000-9569
982,BURNS,Meryl,2139574891,64 Harrisville Street,10000-9569
983,GAMACHE,Joseph,3818762517,74 Posen Street,10000-9569
984,BROWN,Alfred,4763419783,71 East Tawas Street,10000-9569
985,BEATTY,Mattie,7863606053,41 Hillman Road,10000-9569
986,BISHOP,Otto,9054189410,35 Black River Street,10000-9569
987,GARANT,Joseph,4229921882,33 El Paso Street,10000-9569
988,COMPEAU,June,3598541449,51 Tower Lane,10000-9569
989,DE LONG,LeRoy,6475499515,30 Wilson Street,10000-9569
990,ARMSTRONG,Chester,4636745365,71 Wolf Creek Place,10000-9569
991,BRAY,Warren,7034996153,38 Midland Street,10000-9569
992,ALVAREZ,Leonard,6845079719,61 Herron Street,10000-9569
993,DERY,Thomas,2887588575,14 Lincoln Lane,10000-9569
994,BINGHAM,John,5565523897,41 Wilson Street,10000-9569
995,GABRYSIK,Michael,6878899799,60 Long Lake Street,10000-9569
996,BAILEY,Fred,6484629348,47 Atlanta Street,10000-9569
997,BERTRAND,Matilda,6638423605,4 Hillman Street,10000-9569
998,GARDNER,Glendale,1708347892,57 Ossineke Street,10000-9569
999,FOLEY,Michael,4904079408,72 Hubbard Lake Street,10000-9569
1000,CONNANT,John,7095921045,28 Leer Cr,10000-9569
1001,DE BAUCHE,Dorothy,3655324021,25 Hurst Street,10000-9569
1002,COLLINS,Melissa,5507861405,12 Lansing Rd,10000-9569
1003,COLEBECK,Kenneth,1863204991,60 Wolf Creek Place,10000-9569
